name,display,manufactor,needed,forbidden,highscore
1-2-3,1-2-3...,Talleres de Llobregat 1973,"1-2-3,1973",,TlD_123.txt
2 in 1,2 in 1,Bally 1964,"2,in,Bally,1964",,
3-in-line,3 in Line,Bally 1963,,,
2001,2001,Gottlieb 1971,"2001,Gottlieb,1971",,2001_71VPX.txt
24,24,Stern 2009,"24,stern,2009",,
250cc,250 cc,Inder 1992,"250,cc",,
300,300,Gottlieb 1975,"300,1975",,300_75VPX.txt
301 Bullseye,301 Bullseye,Grand Products 1986,,,
4 Aces,4 Aces,Williams 1970,,faces,fouraces.txt
4 Queens,4 Queens,Bally 1970,"4,Queens,Bally,1970",,4Queens70.txt
4 Roses,4 Roses,Williams 1962,"4,Roses,Williams,1962",,
4 Square,4 Square,Gottlieb 1971,"4,Square,Gottlieb,1971",,4Square_71VPX.txt
4X4,4X4,Atari 1983,"4X4,Atari,1983",,
8 Ball,8 Ball,Williams 1966,"8,Ball,Williams,1966",,Williams8Ball_66VPX.txt
A-Go-Go,A-Go-Go,Williams 1966,"A-Go-Go,Williams,1966",,
A Team,The A-Team,Original 2023,"the,team,original,2023",,
Aaron Spelling,Aaron Spelling,Data East 1992,,,
Abra Ca Dabra,Abra Ca Dabra,Gottlieb 1975,,,AbraCaDabra.txt
AC-DC PREMIUM,AC-DC PREMIUM,Stern 2012,"ac,dc,premium",luci,
AC-DC PREMIUM LUCI,AC-DC PREMIUM LUCI,Stern 2013,"ac,dc,luci",,
AC-DC Back In Black,AC-DC Back In Black<br>Limited Edition,Stern 2012,"ac,dc,back,black",,
AC-DC Let There Be Rock Limited Edition,AC-DC Let There Be Rock<br>Limited Edition,Stern 2012,"ac,dc,Rock",,
AC-DC Pro Vault Edition,AC-DC Pro - Vault Edition,Stern 2017,"ac,dc,pro,vault",,
Accept,Accept,Original 2019,"Accept,Original,2019",,
Ace Of Speed,Ace of Speed,Original 2019,,,
Ace Ventura - Pet Detective,Ace Ventura<br>Pet Detective,Original 2019,"Ace,Ventura",,
Aces & Kings,Aces & Kings,Williams 1970,"Aces,Kings,Williams,1970",,Aces_and_Kings.txt
Addams Family,The Addams Family,Bally 1992,,"bw,mod",
Addams Family BW,The Addams Family<br>Black & White,Bally 1992,"Addams,Family,BW,mod",,
Adventures of Rocky and Bullwinkle and Friends,The Adventures of Rocky and<br>Bullwinkle and Friends,Data East 1993,"rocky,bullwinkle",,
Aerosmith,Aerosmith,Original 2019,,,
Agents 777,Agents 777,Game Plan 1984,,,
Air Aces,Air Aces,Bally 1975,"Air,Aces,Bally,1975",,
Airborne,Airborne,Capcom 1996,,Avenger,
Airborne Avenger,Airborne Avenger,Atari 1977,,,
Airport,Airport,Gottlieb 1969,"Airport,Gottlieb,1969",,Airport_69VPX.txt
Airwolf,Airwolf,Original 2020,,,
Al Capone,Al Capone,LTO do Brasil 1984,,,
Aladdin,Disney's Aladdin,Original 2020,"aladin,disney",,
Al Garage Band,Al's Garage Band,AlvinG 1992,,,
Aladdin's Castle,Aladdin's Castle,Bally 1976,,,
Alaska,Alaska,Interflip 1978,"Alaska,Interflip,1978",,alaska.txt
Alfred Hitchcocks Psycho,Alfred Hitchcocks Psycho,Original 2019,,,
Algar,Algar,Williams 1980,,,
Ali,Ali,Stern 1980,"ali,stern,1980","alien,excalibur,valinor",
Alice in Wonderland,Alice in Wonderland,Gottlieb 1948,,,AliceInWonderland.txt
Alien Poker,Alien Poker,Williams 1980,,,
Alien Star,Alien Star,Gottlieb 1984,,,
Alien Trilogy,Alien Trilogy,Original 2019,,,
Aliens,Aliens,Original 2020,"Aliens,Original,2020",,
Alle Neune,Alle Neune,NSM 1969,"Alle,Neune,NSM,1969",,
Alley Cats,Alley Cats,Williams 1985,,,
Aloha,Aloha,Gottlieb 1961,"Aloha,Gottlieb,1961",,
Amazing Spider-Man,The Amazing Spider-Man,Gottlieb 1980,,,
Amazon Hunt,Amazon Hunt,Gottlieb 1983,,,
America 1492,America 1492,Juegos Populares 1986,,,
America Most Haunted,America's Most Haunted,Spooky Pinball 2014,,,
American Country,American Country,Original 2024,,,
American Graffiti,American Graffiti,Original 2024,,,
Amigo,Amigo,Bally 1974,"Amigo,Bally,1974",,Amigo_74VPX.txt
Andromeda,Andromeda,Gameplan 1985,,,
Animal,Animal,Original 2017,,party,
Apache,Apache!,Taito do Brasil 1978,"Apache,Taito,1978",,Apache_78VPX.txt
Apache,Apache,Playmatic 1975,"Apache,Playmatic,1975",,Apache-playmatic1975.txt
Apollo,Apollo,Williams 1967,,13,apollo.txt
Apollo 13,Apollo 13,Sega 1995,,,
Aqualand,Aqualand,Juegos Populares 1986,,,
Aquaman,Aquaman,Original 2024,,,
Aquarius,Aquarius,Gottlieb 1970,,,Aquarius_70VPX.txt
Arena,Arena,Gottlieb 1987,"arena,gottlieb",,
Argosy,Argosy,Williams 1977,,,
Arizona,Arizona,LTD 1977,"Arizona,LTD,1977",,
Aristocrat,Aristocrat,Williams 1979,,,
Aspen,Aspen,Brunswick 1979,"Aspen,Brunswick,1979",,Aspenjp.txt
Asteroid Annie and the Aliens,Asteroid Annie and the Aliens,Gottlieb 1980,,,
Astro,Astro,Gottlieb 1971,"Astro,Gottlieb,1971",,
Astronaut,Astronaut,Chicago Coin Machine 1969,"Astronaut, 1969",,Astronaut_69VPX.txt
Atlantis,Atlantis,Bally 1989,atlantis,gottlieb,
Atlantis,Atlantis,Gottlieb 1975,atlantis,bally,Atlantis_75VPX.txt
Atleta,Atleta,Inder 1991,,,
Atomic Beach Party,Tiki Bob's Atomic Beach Party,Original 2021,,,
Attack - from Mars,Attack - from Mars,Bally 1995,"attack,mars",revenge,
Attack And Revenge from Mars,Attack & Revenge from Mars,Original 2015,"attack,revenge,mars",bally,
